type, id, x, y, theta, max_vx, max_vy, max_vtheta, radius_area, lookahead_distance, obs_scan_r, icp_score_max, scan_min_x, scan_max_x, scan_min_y, scan_max_y, obs_threshold
1,0,-17.2,-13.8,0,0.7,1,0.5,1.2,1.5,2.5,10.501,-0.4,3,-1,1,50000
32,1,-5.5,8.6,2.35,1,1,0.5,1.5,2.2,3,6.501,-0.4,3,-1.5,1.5,50000
32,3,-13,0.4,1.57,1.7,1,0.5,2,3,3.5,2.001,-0.4,3,-1.5,1.5,50000
2,5,-12.2,30.3,1.57,1,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
2,6,-12.2,34.2,1.57,1,1,0.5,2,1.5,2,1.001,-0.4,3,-1,1,50000
1,7,-194.75,48.05,-2.35,0.7,1,0.5,1.5,1.5,1,6.001,-0.4,1,-1,1,150000
32,11,-37.5,44.9,3.14,1.97,1,0.5,2,3,4,1.001,-0.4,2,-1,1,50000
2,13,-90.9,40.9,3.14,1.5,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
2,14,-93.5,40.9,3.14,1,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
2,15,-96.5,40.9,3.14,1,1,0.5,1.5,1.5,2,6.001,-0.4,3,-1,1,50000
32,19,-119.04,48.5,3.14,1.97,1,0.5,1.5,3,4,1.001,-0.4,3,-1.7,1.7,50000
2,21,-175.54,46.5,3.14,1.5,2,0.5,1.5,3,2,1.001,-0.4,3,-1,1,50000
2,22,-181,46.5,3.14,1,1,0.5,1.5,3,2,1.001,-0.4,3,-1,1,50000
2,23,-184,46.5,3.14,1,1,0.5,1.5,1.5,4.5,1.001,-0.4,1,-1.2,2,150000
32,24,-13,-4.4,1.57,1.2,1,0.5,1.5,2,3.5,10.501,-0.4,3,-1.2,1.2,50000
2,25,-194.7,46.2,-0.78,0.7,1,0.5,1.5,1.5,1,6.001,-0.4,1,-1,1,150000
2,26,7.3,-7.2,1.57,1,1,0.5,2,1.9,4.5,10.001,-0.4,2,-1,1,50000
2,27,7.3,1,1.57,1,1,0.5,1.5,1.9,4.5,10.001,-0.4,3,-1,1,50000
32,29,-101.3,42,2.35,1.1,1,0.5,1.5,2,2,6.001,-0.4,3,-1,1,50000
32,30,-26.3,45,3.14,1.7,1,0.5,1.5,2,2,1.001,-0.4,3,-1,1,50000
2,32,-114.04,43.4,-0.78,1,1,0.5,1.5,1.9,2,1.001,-0.4,3,-1,1,50000
2,33,-103.5,37.6,-0.78,1,1,0.5,1.9,1.5,2,1.001,-0.4,3,-1,1,50000
32,35,-183,41.7,0,1.7,1,0.5,1.6,2.8,3.5,1.001,-0.4,3,-1.1,1.1,50000
2,36,-123.54,44.5,0,1,1,0.5,1.5,2.8,2,1.001,-0.4,3,-1,1,50000
2,37,-121.54,44.5,0,1,1,0.5,1.5,1.5,2,1.001,-0.4,3,-1,1,50000
32,38,-95,36,0,1.97,1,0.5,1.5,3,4,1.001,-0.4,3,-1.1,1.1,50000
2,39,-31.8,40,0,1.5,1,0.5,1.5,3,3,10.001,-0.4,3,-1,1,50000
2,40,-26.3,40,0,1,1,0.5,1.5,1.5,3,10.001,-0.4,3,-1,1,50000
32,41,-17.9,32,-1.57,1.7,1,0.5,2,4,2.5,10.001,-0.4,3,-1.5,1.3,50000
2,42,-18.5,4,-1.57,1.3,1,0.5,1.5,3,2,10.001,-0.4,3,-1,1,50000
2,43,-18.5,0,-1.57,1,1,0.5,1.5,1.5,3.5,10.001,-0.4,3,-1,1,50000
32,44,-17.9,25.4,-1.57,1.97,1,0.5,2,4,2.5,10.001,-0.4,3,-1.5,1.3,50000
32,45,-17.9,9.4,-1.57,1.6,1,0.5,2,4,2.5,1.001,-0.4,3,-1.5,1.3,50000
2,46,-191.7,51.2,-2.35,0.7,1,0.5,2,1.5,2,5.001,-0.4,1,-1,1,150000
32,47,-191,43,0,1,1,0.5,1.5,1.5,2,6.001,-0.4,3,-1,1,50000
2,48,-18.5,-4,-1.57,1,1,0.5,1.5,1.5,4.5,10.001,-0.4,3,-1,1,50000
2,49,-14,-13,-0.75,0.7,1,0.5,0.7,1.5,1,10.001,-0.4,1,-1,1,150000
2,50,-13.5,-9,1.57,1,1,0.5,1.5,1.5,4.5,10.501,-0.4,3,-1,1,50000
32,51,-160,42.5,0,1.7,1,0.5,1.6,2.8,3.5,10.001,-0.4,3,-1.1,1.1,50000
32,52,-140,43.5,0,1.7,1,0.5,1.6,2.8,3.5,1.001,-0.4,3,-1.1,1.1,50000
32,53,-35.8,40,0,1.97,1,0.5,1.5,3,4,10.001,-0.4,3,-1.1,1.1,50000
