type, id, x, y, theta, max_vx, max_vy, max_vtheta, radius_area, lookahead_distance, obs_scan_r, icp_score_max, scan_min_x, scan_max_x, scan_min_y, scan_max_y, obs_threshold
1,0,-10.5,-12.9,0,1,1,0.5,1.5,1.5,4.5,6.501,-0.4,3,-1,2,50000
32,1,-5.5,8.6,2.35,1,1,0.5,1.5,2.2,3,6.501,-0.4,3,-1.5,1.5,50000
32,2,-12.5,15.6,-1.57,1.7,1,0.5,2,3,3.5,1.001,-0.4,3,-1,1,50000
32,3,-12.5,18.4,1.57,1.7,1,0.5,2,3,3.5,2.001,-0.4,3,-1.5,1.5,50000
32,4,-12.5,31.4,-1.57,1.7,1,0.5,2,3,2.5,1.001,-0.4,3,-1.5,1.5,50000
2,5,-12.2,31.3,1.57,1,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
2,6,-12.2,35.2,1.57,1,1,0.5,2,1.5,2,1.001,-0.4,3,-1,1,50000
1,7,-197.5,39.2,-2.35,0.7,1,0.5,1.5,1.5,1,6.001,-0.4,1,-1,1,150000
32,8,-31.4,46.7,0,1.5,1,0.5,2,1.9,2,1.001,-0.4,3,-1,1,50000
32,9,-34,46.5,0,1.7,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
32,10,-39.6,46.4,0,1.8,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
32,11,-37.5,46.4,3.14,1.97,1,0.5,2,3,4,1.001,-0.4,2,-1,1,50000
32,12,-92.6,38.9,0,1.97,1,0.5,2,3,3.5,1.001,-0.4,3,-1,1,50000
2,13,-90.9,38.9,3.14,1.5,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
2,14,-93.5,38.9,3.14,1,1,0.5,2,3,2,1.001,-0.4,3,-1,1,50000
2,15,-96.5,37.9,3.14,1,1,0.5,1.5,1.5,2,6.001,-0.4,3,-1,1,50000
2,16,-113.54,44,0,1.5,1,0.5,1.5,1.5,2,1.001,-0.4,3,-1,1,50000
2,17,-116.54,44,0,1.5,1,0.5,1.5,3,2,1.001,-0.4,3,-1,1,50000
2,18,-121.54,44,0,1.5,1,0.5,1.5,3,2,1.001,-0.4,3,-1,1,50000
32,19,-119.04,44,3.14,1.97,1,0.5,1.5,3,4,1.001,-0.4,3,-1.7,1.7,50000
32,20,-177.54,37.5,0,1.97,2,0.5,1.5,3,4,1.001,-0.4,3,-1.5,2,50000
2,21,-175.54,37.5,3.14,1.5,2,0.5,1.5,3,2,1.001,-0.4,3,-1,1,50000
2,22,-181,37.5,3.14,1,1,0.5,1.5,3,2,1.001,-0.4,3,-1,1,50000
2,23,-184,37.5,3.14,1,1,0.5,1.5,1.5,4.5,1.001,-0.4,1,-1.2,2,150000
32,24,3.9,4.7,2.35,1.5,1,0.5,2.5,2,3.5,6.501,-0.4,3,-1.5,1.5,50000
2,25,-196.7,36.2,-0.78,0.7,1,0.5,1.5,1.5,1,6.001,-0.4,1,-1,1,150000
2,26,7.3,-7.2,1.57,1,1,0.5,2,1.9,4.5,10.001,-0.4,2,-1,1,50000
2,27,7.3,1,1.57,1,1,0.5,1.5,1.9,4.5,10.001,-0.4,3,-1,1,50000
2,28,-25.3,46.5,0,1,1,0.5,1.5,1.5,2,1.001,-0.4,3,-1,1,50000
32,29,-101.3,38.5,2.35,1.1,1,0.5,1.5,2,2,6.001,-0.4,3,-1,1,50000
32,30,-26.3,46.5,3.14,1.7,1,0.5,1.5,2,2,1.001,-0.4,3,-1,1,50000
32,31,-187,37.7,0,1,1,0.5,1.5,2,2,1.001,-0.4,3,-1.2,1.2,50000
2,32,-114.04,38.9,-0.78,1,1,0.5,1.5,1.9,2,1.001,-0.4,3,-1,1,50000
2,33,-103.5,34.1,-0.78,1,1,0.5,1.9,1.5,2,1.001,-0.4,3,-1,1,50000
32,34,-180,37.5,0,1.5,1,0.5,1,2,2,1.001,-0.4,3,-1.2,1.2,50000
32,35,-186,32.7,0,1.7,1,0.5,1.6,2.8,3.5,1.001,-0.4,3,-1.1,1.1,50000
2,36,-123.54,40.2,0,1,1,0.5,1.5,2.8,2,1.001,-0.4,3,-1,1,50000
2,37,-121.54,40.2,0,1,1,0.5,1.5,1.5,2,1.001,-0.4,3,-1,1,50000
32,38,-98,33,0,1.97,1,0.5,1.5,3,4,1.001,-0.4,3,-1.1,1.1,50000
2,39,-31.8,40.7,0,1.5,1,0.5,1.5,3,3,10.001,-0.4,3,-1,1,50000
2,40,-26.3,40.7,0,1,1,0.5,1.5,1.5,3,10.001,-0.4,3,-1,1,50000
32,41,-17.9,33.4,-1.57,1.7,1,0.5,2,4,2.5,1.001,-0.4,3,-1.5,1.3,50000
2,42,-17,4,-1.57,1.3,1,0.5,1.5,3,2,10.001,-0.4,3,-1,1,50000
2,43,-17,0,-1.57,1,1,0.5,1.5,1.5,2,10.001,-0.4,3,-1,1,50000
32,44,-17.9,25.4,-1.57,1.97,1,0.5,2,4,2.5,1.001,-0.4,3,-1.5,1.3,50000
32,45,-17.9,9.4,-1.57,1.6,1,0.5,2,4,2.5,1.001,-0.4,3,-1.5,1.3,50000
2,46,-193.7,41.2,-2.35,0.7,1,0.5,2,1.5,2,5.001,-0.4,1,-1,1,150000
32,47,-191,32.7,0,1,1,0.5,1.5,1.5,2,6.001,-0.4,3,-1,1,50000
2,48,-17,-7,-1.57,1,1,0.5,1.5,1.5,4.5,10.001,-0.4,3,-1,2,50000
2,49,-15.5,-12,-0.75,0.7,1,0.5,1.4,1.5,1,10.001,-0.4,1,-1,1,150000
2,50,-7.5,-12.3,0,1,1,0.5,1.5,1.5,4.5,6.501,-0.4,3,-1,2,50000
32,51,-160,35.5,0,1.7,1,0.5,1.6,2.8,3.5,10.001,-0.4,3,-1.1,1.1,50000
32,52,-140,37.5,0,1.7,1,0.5,1.6,2.8,3.5,1.001,-0.4,3,-1.1,1.1,50000
